sample_id,model,claim_id,entity,change_type,role,status,faithfulness,spatial_support,temporal_support,grounding_confidence,reason
levir-cc_test_000004,Draft,c001,road,add,changed,supported,0.8991215143212424,0.8598850715246362,0.9719891938006541,0.97265625,Spatial and temporal evidence support the changed-entity claim.
levir-cc_test_000004,Draft,c002,building,add,changed,supported,0.8790756961694339,0.8139626094914368,1.0,0.97265625,Spatial and temporal evidence support the changed-entity claim.
levir-cc_test_000004,Draft,c003,road,none,context,supported,0.97265625,,,0.97265625,Context existence is supported; change-mask overlap is not penalized.
levir-cc_test_000004,Guided,c001,road,add,changed,supported,0.8991215143212424,0.8598850715246362,0.9719891938006541,0.97265625,Spatial and temporal evidence support the changed-entity claim.
levir-cc_test_000004,Guided,c002,building,add,changed,supported,0.8790756961694339,0.8139626094914368,1.0,0.97265625,Spatial and temporal evidence support the changed-entity claim.
levir-cc_test_000004,Guided,c003,road,none,context,supported,0.97265625,,,0.97265625,Context existence is supported; change-mask overlap is not penalized.
levir-cc_test_000004,Change-Agent,c001,road,add,changed,supported,0.8991215143212424,0.8598850715246362,0.9719891938006541,0.97265625,Spatial and temporal evidence support the changed-entity claim.
levir-cc_test_000004,Change-Agent,c002,building,add,changed,supported,0.8790756961694339,0.8139626094914368,1.0,0.97265625,Spatial and temporal evidence support the changed-entity claim.
levir-cc_test_000018,Draft,c001,building,add,changed,supported,0.8015014464409403,0.694617609909139,1.0,0.9296875,Spatial and temporal evidence support the changed-entity claim.
levir-cc_test_000018,Guided,c001,building,add,changed,supported,0.8015014464409403,0.694617609909139,1.0,0.9296875,Spatial and temporal evidence support the changed-entity claim.
levir-cc_test_000018,Change-Agent,c001,building,add,changed,supported,0.8015014464409403,0.694617609909139,1.0,0.9296875,Spatial and temporal evidence support the changed-entity claim.
levir-cc_test_000018,Change-Agent,c002,road,none,context,supported,0.98046875,,,0.98046875,Context existence is supported; change-mask overlap is not penalized.
levir-cc_test_000019,Draft,c001,building,modify,changed,unverifiable,0.7396060201356072,0.5993938771317033,1.0,0.96875,Evidence is ambiguous under the configured thresholds.
levir-cc_test_000019,Draft,c002,road,none,context,supported,0.94921875,,,0.94921875,Context existence is supported; change-mask overlap is not penalized.
levir-cc_test_000019,Guided,c001,building,modify,changed,unverifiable,0.7396060201356072,0.5993938771317033,1.0,0.96875,Evidence is ambiguous under the configured thresholds.
levir-cc_test_000019,Guided,c002,road,none,context,supported,0.94921875,,,0.94921875,Context existence is supported; change-mask overlap is not penalized.
levir-cc_test_000019,Change-Agent,c001,building,add,changed,unverifiable,0.7396060201356072,0.5993938771317033,1.0,0.96875,Evidence is ambiguous under the configured thresholds.
levir-cc_test_000019,Change-Agent,c002,road,none,context,supported,0.94921875,,,0.94921875,Context existence is supported; change-mask overlap is not penalized.
levir-cc_test_000048,Draft,c001,building,add,changed,supported,0.8018502202643172,0.6951541850220264,1.0,0.9609375,Spatial and temporal evidence support the changed-entity claim.
levir-cc_test_000048,Guided,c001,building,add,changed,supported,0.8018502202643172,0.6951541850220264,1.0,0.9609375,Spatial and temporal evidence support the changed-entity claim.
levir-cc_test_000048,Change-Agent,c001,building,add,changed,supported,0.8018502202643172,0.6951541850220264,1.0,0.9609375,Spatial and temporal evidence support the changed-entity claim.
levir-cc_test_000049,Draft,c001,building,add,changed,contradicted,0.40804016521276576,0.09407180629000834,0.9911242603550295,0.96875,The grounded entity is inconsistent with the change evidence.
levir-cc_test_000049,Guided,c001,scene,none,no_change,contradicted,0.0,0.0,,1.0,The no-change assertion is evaluated directly against the change mask.
levir-cc_test_000049,Change-Agent,c001,building,add,changed,contradicted,0.40804016521276576,0.09407180629000834,0.9911242603550295,0.96875,The grounded entity is inconsistent with the change evidence.
levir-cc_test_000064,Draft,c001,building,add,changed,unverifiable,0.6572808066997095,0.47273970261493764,1.0,0.97265625,Evidence is ambiguous under the configured thresholds.
levir-cc_test_000064,Draft,c002,road,add,changed,contradicted,0.0,0.0,0.0,0.9765625,A changed-entity claim contradicts an empty ground-truth change mask.
levir-cc_test_000064,Guided,c001,building,add,changed,unverifiable,0.6572808066997095,0.47273970261493764,1.0,0.97265625,Evidence is ambiguous under the configured thresholds.
levir-cc_test_000064,Guided,c002,road,add,changed,contradicted,0.0,0.0,0.0,0.9765625,A changed-entity claim contradicts an empty ground-truth change mask.
levir-cc_test_000064,Change-Agent,c001,building,add,changed,unverifiable,0.6572808066997095,0.47273970261493764,1.0,0.97265625,Evidence is ambiguous under the configured thresholds.
levir-cc_test_000064,Change-Agent,c002,road,add,changed,contradicted,0.0,0.0,0.0,0.9765625,A changed-entity claim contradicts an empty ground-truth change mask.
levir-cc_test_000068,Draft,c001,road,add,changed,unverifiable,0.7128684572639608,0.5720478325859492,0.9743924745231252,0.703125,Evidence is ambiguous under the configured thresholds.
levir-cc_test_000068,Guided,c001,road,add,changed,unverifiable,0.7128684572639608,0.5720478325859492,0.9743924745231252,0.703125,Evidence is ambiguous under the configured thresholds.
levir-cc_test_000068,Change-Agent,c001,road,add,changed,unverifiable,0.7128684572639608,0.5720478325859492,0.9743924745231252,0.703125,Evidence is ambiguous under the configured thresholds.
levir-cc_test_000096,Draft,c001,building,add,changed,contradicted,0.3986372646184341,0.07482656095143707,1.0,0.98046875,The grounded entity is inconsistent with the change evidence.
levir-cc_test_000096,Guided,c001,building,add,changed,contradicted,0.3986372646184341,0.07482656095143707,1.0,0.98046875,The grounded entity is inconsistent with the change evidence.
levir-cc_test_000101,Draft,c001,building,add,changed,supported,0.7880598637483693,0.6739382519205682,1.0,0.90234375,Spatial and temporal evidence support the changed-entity claim.
levir-cc_test_000101,Draft,c002,road,none,context,supported,0.94140625,,,0.94140625,Context existence is supported; change-mask overlap is not penalized.
levir-cc_test_000101,Guided,c001,building,add,changed,supported,0.7880598637483693,0.6739382519205682,1.0,0.90234375,Spatial and temporal evidence support the changed-entity claim.
levir-cc_test_000101,Guided,c002,road,none,context,supported,0.94140625,,,0.94140625,Context existence is supported; change-mask overlap is not penalized.
levir-cc_test_000101,Change-Agent,c001,building,add,changed,supported,0.7880598637483693,0.6739382519205682,1.0,0.90234375,Spatial and temporal evidence support the changed-entity claim.
