sample_id,model,faithfulness,coverage,temporal,overall,unverifiable_rate,caption,visualization
levir-cc_test_000004,Draft,0.8890986052453382,1.0,0.985994596900327,0.9362031522650014,0.0,a road with a branch is built and villas are built around the road to replace the trees .,/root/autodl-tmp/mga-artifacts/segearth-ov3/building-road-100x3-v3/scenes/levir-cc-test-000004/overview_A_B_reference.png
levir-cc_test_000004,Guided,0.8890986052453382,1.0,0.985994596900327,0.9362031522650014,0.0,a road with a branch is built and villas are built around the road to replace the trees .,/root/autodl-tmp/mga-artifacts/segearth-ov3/building-road-100x3-v3/scenes/levir-cc-test-000004/overview_A_B_reference.png
levir-cc_test_000004,Change-Agent,0.8890986052453382,1.0,0.985994596900327,0.9362031522650014,0.0,the vegetation has been removed and a road with villas built along appears,/root/autodl-tmp/mga-artifacts/segearth-ov3/building-road-100x3-v3/scenes/levir-cc-test-000004/overview_A_B_reference.png
levir-cc_test_000018,Draft,0.8015014464409403,0.8947368421052632,1.0,0.864510006068833,0.0,massive houses appear in the desert .,/root/autodl-tmp/mga-artifacts/segearth-ov3/building-road-100x3-v3/scenes/levir-cc-test-000018/overview_A_B_reference.png
levir-cc_test_000018,Guided,0.8015014464409403,0.8947368421052632,1.0,0.864510006068833,0.0,massive houses appear in the desert .,/root/autodl-tmp/mga-artifacts/segearth-ov3/building-road-100x3-v3/scenes/levir-cc-test-000018/overview_A_B_reference.png
levir-cc_test_000018,Change-Agent,0.8015014464409403,0.8947368421052632,1.0,0.864510006068833,0.0,the vegetation has been removed and many houses are built along the road,/root/autodl-tmp/mga-artifacts/segearth-ov3/building-road-100x3-v3/scenes/levir-cc-test-000018/overview_A_B_reference.png
levir-cc_test_000019,Draft,0.7396060201356072,0.9375,1.0,0.8411583110745839,0.5,massive houses along the roads replace the woods .,/root/autodl-tmp/mga-artifacts/segearth-ov3/building-road-100x3-v3/scenes/levir-cc-test-000019/overview_A_B_reference.png
levir-cc_test_000019,Guided,0.7396060201356072,0.9375,1.0,0.8411583110745839,0.5,massive houses along the roads replace the woods .,/root/autodl-tmp/mga-artifacts/segearth-ov3/building-road-100x3-v3/scenes/levir-cc-test-000019/overview_A_B_reference.png
levir-cc_test_000019,Change-Agent,0.7396060201356072,0.9375,1.0,0.8411583110745839,0.5,the vegetation has been removed and many houses are built along the road,/root/autodl-tmp/mga-artifacts/segearth-ov3/building-road-100x3-v3/scenes/levir-cc-test-000019/overview_A_B_reference.png
levir-cc_test_000048,Draft,0.8018502202643172,1.0,1.0,0.8910176211453744,0.0,some buildings appear in the top left corner of the scene .,/root/autodl-tmp/mga-artifacts/segearth-ov3/building-road-100x3-v3/scenes/levir-cc-test-000048/overview_A_B_reference.png
levir-cc_test_000048,Guided,0.8018502202643172,1.0,1.0,0.8910176211453744,0.0,some buildings appear in the top left corner of the scene .,/root/autodl-tmp/mga-artifacts/segearth-ov3/building-road-100x3-v3/scenes/levir-cc-test-000048/overview_A_B_reference.png
levir-cc_test_000048,Change-Agent,0.8018502202643172,1.0,1.0,0.8910176211453744,0.0,a villa appears in the upper left corner of the scene,/root/autodl-tmp/mga-artifacts/segearth-ov3/building-road-100x3-v3/scenes/levir-cc-test-000048/overview_A_B_reference.png
levir-cc_test_000049,Draft,0.40804016521276576,1.0,0.9911242603550295,0.6726469429380271,0.0,two buildings appear in the top right corner of the scene .,/root/autodl-tmp/mga-artifacts/segearth-ov3/building-road-100x3-v3/scenes/levir-cc-test-000049/overview_A_B_reference.png
levir-cc_test_000049,Guided,0.0,0.0,,0.0,0.0,no change has occurred .,/root/autodl-tmp/mga-artifacts/segearth-ov3/building-road-100x3-v3/scenes/levir-cc-test-000049/overview_A_B_reference.png
levir-cc_test_000049,Change-Agent,0.40804016521276576,1.0,0.9911242603550295,0.6726469429380271,0.0,a building appears in the top right corner of the scene,/root/autodl-tmp/mga-artifacts/segearth-ov3/building-road-100x3-v3/scenes/levir-cc-test-000049/overview_A_B_reference.png
levir-cc_test_000064,Draft,0.3286404033498547,1.0,0.5,0.5307522218424201,0.5,some houses are built on both sides of the road .,/root/autodl-tmp/mga-artifacts/segearth-ov3/building-road-100x3-v3/scenes/levir-cc-test-000064/overview_A_B_reference.png
levir-cc_test_000064,Guided,0.3286404033498547,1.0,0.5,0.5307522218424201,0.5,new houses are built on both sides of the road .,/root/autodl-tmp/mga-artifacts/segearth-ov3/building-road-100x3-v3/scenes/levir-cc-test-000064/overview_A_B_reference.png
levir-cc_test_000064,Change-Agent,0.3286404033498547,1.0,0.5,0.5307522218424201,0.5,some houses are built on both sides of the road,/root/autodl-tmp/mga-artifacts/segearth-ov3/building-road-100x3-v3/scenes/levir-cc-test-000064/overview_A_B_reference.png
levir-cc_test_000068,Draft,0.7128684572639608,1.0,0.9743924745231252,0.8369561463998034,1.0,a road appears in the center of the scene .,/root/autodl-tmp/mga-artifacts/segearth-ov3/building-road-100x3-v3/scenes/levir-cc-test-000068/overview_A_B_reference.png
levir-cc_test_000068,Guided,0.7128684572639608,1.0,0.9743924745231252,0.8369561463998034,1.0,a road appears in the center of the scene .,/root/autodl-tmp/mga-artifacts/segearth-ov3/building-road-100x3-v3/scenes/levir-cc-test-000068/overview_A_B_reference.png
levir-cc_test_000068,Change-Agent,0.7128684572639608,1.0,0.9743924745231252,0.8369561463998034,1.0,a new road appears in the middle of the scene,/root/autodl-tmp/mga-artifacts/segearth-ov3/building-road-100x3-v3/scenes/levir-cc-test-000068/overview_A_B_reference.png
levir-cc_test_000096,Draft,0.3986372646184341,1.0,1.0,0.6692504955401388,0.0,a building appears in the right of the scene .,/root/autodl-tmp/mga-artifacts/segearth-ov3/building-road-100x3-v3/scenes/levir-cc-test-000096/overview_A_B_reference.png
levir-cc_test_000096,Guided,0.3986372646184341,1.0,1.0,0.6692504955401388,0.0,a building appears in the lower right of the scene .,/root/autodl-tmp/mga-artifacts/segearth-ov3/building-road-100x3-v3/scenes/levir-cc-test-000096/overview_A_B_reference.png
levir-cc_test_000096,Change-Agent,0.0,0.0,,0.0,0.0,the scene is the same as before,/root/autodl-tmp/mga-artifacts/segearth-ov3/building-road-100x3-v3/scenes/levir-cc-test-000096/overview_A_B_reference.png
levir-cc_test_000101,Draft,0.7880598637483693,0.9090909090909091,1.0,0.8607056523343305,0.0,many houses are built around the road in the desert .,/root/autodl-tmp/mga-artifacts/segearth-ov3/building-road-100x3-v3/scenes/levir-cc-test-000101/overview_A_B_reference.png
levir-cc_test_000101,Guided,0.7880598637483693,0.9090909090909091,1.0,0.8607056523343305,0.0,many houses are built around the road in the desert .,/root/autodl-tmp/mga-artifacts/segearth-ov3/building-road-100x3-v3/scenes/levir-cc-test-000101/overview_A_B_reference.png
levir-cc_test_000101,Change-Agent,0.7880598637483693,0.9090909090909091,1.0,0.8607056523343305,0.0,many houses are built on the bareland,/root/autodl-tmp/mga-artifacts/segearth-ov3/building-road-100x3-v3/scenes/levir-cc-test-000101/overview_A_B_reference.png
levir-cc_test_000124,Draft,0.0,0.0,,0.0,0.0,the scene is the same as before .,/root/autodl-tmp/mga-artifacts/segearth-ov3/building-road-100x3-v3/scenes/levir-cc-test-000124/overview_A_B_reference.png
levir-cc_test_000124,Guided,0.12939579295240575,0.5,0.04943502824858759,0.2060546917735407,0.0,a new road appears in the lower-left corner of the scene .,/root/autodl-tmp/mga-artifacts/segearth-ov3/building-road-100x3-v3/scenes/levir-cc-test-000124/overview_A_B_reference.png
levir-cc_test_000124,Change-Agent,0.7558536585365854,0.5,1.0,0.740719512195122,0.0,a villa has been built by the roadside,/root/autodl-tmp/mga-artifacts/segearth-ov3/building-road-100x3-v3/scenes/levir-cc-test-000124/overview_A_B_reference.png
levir-cc_test_000133,Draft,0.5727857228698474,1.0,1.0,0.7650321475784161,0.5,some houses are built along the road .,/root/autodl-tmp/mga-artifacts/segearth-ov3/building-road-100x3-v3/scenes/levir-cc-test-000133/overview_A_B_reference.png
levir-cc_test_000133,Guided,0.5727857228698474,1.0,1.0,0.7650321475784161,0.5,some houses are built along the road .,/root/autodl-tmp/mga-artifacts/segearth-ov3/building-road-100x3-v3/scenes/levir-cc-test-000133/overview_A_B_reference.png
levir-cc_test_000133,Change-Agent,0.5727857228698474,1.0,1.0,0.7650321475784161,0.5,two houses are built on the bareland along the road,/root/autodl-tmp/mga-artifacts/segearth-ov3/building-road-100x3-v3/scenes/levir-cc-test-000133/overview_A_B_reference.png
levir-cc_test_000153,Draft,0.3319855436405592,1.0,0.5,0.5325920490023076,0.5,a road with houses around is built at the bottom right corner .,/root/autodl-tmp/mga-artifacts/segearth-ov3/building-road-100x3-v3/scenes/levir-cc-test-000153/overview_A_B_reference.png
levir-cc_test_000153,Guided,0.3319855436405592,1.0,0.5,0.5325920490023076,0.5,a road with houses around is built at the bottom right corner .,/root/autodl-tmp/mga-artifacts/segearth-ov3/building-road-100x3-v3/scenes/levir-cc-test-000153/overview_A_B_reference.png
levir-cc_test_000153,Change-Agent,0.6639710872811184,1.0,1.0,0.8151840980046152,0.5,many houses are built along the road,/root/autodl-tmp/mga-artifacts/segearth-ov3/building-road-100x3-v3/scenes/levir-cc-test-000153/overview_A_B_reference.png
levir-cc_test_000158,Draft,0.7859059030288748,1.0,0.9772945314998401,0.8777071529658491,0.0,many houses are built around the road .,/root/autodl-tmp/mga-artifacts/segearth-ov3/building-road-100x3-v3/scenes/levir-cc-test-000158/overview_A_B_reference.png
levir-cc_test_000158,Guided,0.7859059030288748,1.0,0.9772945314998401,0.8777071529658491,0.0,many houses have been built around the road .,/root/autodl-tmp/mga-artifacts/segearth-ov3/building-road-100x3-v3/scenes/levir-cc-test-000158/overview_A_B_reference.png
levir-cc_test_000158,Change-Agent,0.7859059030288748,1.0,0.9772945314998401,0.8777071529658491,0.0,many houses are built along the road,/root/autodl-tmp/mga-artifacts/segearth-ov3/building-road-100x3-v3/scenes/levir-cc-test-000158/overview_A_B_reference.png
levir-cc_test_000172,Draft,0.5760782234532061,1.0,0.969416126042632,0.7607262481077899,1.0,several houses are built in the bottom left corner of the scene .,/root/autodl-tmp/mga-artifacts/segearth-ov3/building-road-100x3-v3/scenes/levir-cc-test-000172/overview_A_B_reference.png
levir-cc_test_000172,Guided,0.5760782234532061,1.0,0.969416126042632,0.7607262481077899,1.0,several houses are built in the bottom left corner of the scene .,/root/autodl-tmp/mga-artifacts/segearth-ov3/building-road-100x3-v3/scenes/levir-cc-test-000172/overview_A_B_reference.png
levir-cc_test_000172,Change-Agent,0.5760782234532061,1.0,0.969416126042632,0.7607262481077899,1.0,two houses appear in the lower-left corner of the scene,/root/autodl-tmp/mga-artifacts/segearth-ov3/building-road-100x3-v3/scenes/levir-cc-test-000172/overview_A_B_reference.png
levir-cc_test_000192,Draft,0.689233868930424,1.0,0.9757266778268148,0.8242239634770963,0.5,a road with houses built along appears in the center of the scene .,/root/autodl-tmp/mga-artifacts/segearth-ov3/building-road-100x3-v3/scenes/levir-cc-test-000192/overview_A_B_reference.png
levir-cc_test_000192,Guided,0.689233868930424,1.0,0.9757266778268148,0.8242239634770963,0.5,a road with houses built along appears in the center of the scene .,/root/autodl-tmp/mga-artifacts/segearth-ov3/building-road-100x3-v3/scenes/levir-cc-test-000192/overview_A_B_reference.png
levir-cc_test_000192,Change-Agent,0.4164590184022287,0.9444444444444444,0.532258064516129,0.5716151841355628,0.0,the road has been removed and many houses are built along the road,/root/autodl-tmp/mga-artifacts/segearth-ov3/building-road-100x3-v3/scenes/levir-cc-test-000192/overview_A_B_reference.png
levir-cc_test_000200,Draft,0.38603314817879375,0.9444444444444444,0.4196048741798255,0.5323503174454128,0.0,many houses are built on both sides of the road .,/root/autodl-tmp/mga-artifacts/segearth-ov3/building-road-100x3-v3/scenes/levir-cc-test-000200/overview_A_B_reference.png
levir-cc_test_000200,Guided,0.38603314817879375,0.9444444444444444,0.4196048741798255,0.5323503174454128,0.0,many houses are built on both sides of the road .,/root/autodl-tmp/mga-artifacts/segearth-ov3/building-road-100x3-v3/scenes/levir-cc-test-000200/overview_A_B_reference.png
levir-cc_test_000200,Change-Agent,0.7720662963575875,0.9444444444444444,0.839209748359651,0.8285895237797145,0.0,many houses are built along the roads,/root/autodl-tmp/mga-artifacts/segearth-ov3/building-road-100x3-v3/scenes/levir-cc-test-000200/overview_A_B_reference.png
levir-cc_test_000205,Draft,0.5630173243503369,1.0,1.0,0.7596595283926854,1.0,a villa has been built in the upper left corner of the scene .,/root/autodl-tmp/mga-artifacts/segearth-ov3/building-road-100x3-v3/scenes/levir-cc-test-000205/overview_A_B_reference.png
levir-cc_test_000205,Guided,0.5630173243503369,1.0,1.0,0.7596595283926854,1.0,a new structure has been built in the upper left corner of the scene .,/root/autodl-tmp/mga-artifacts/segearth-ov3/building-road-100x3-v3/scenes/levir-cc-test-000205/overview_A_B_reference.png
levir-cc_test_000205,Change-Agent,0.5630173243503369,1.0,1.0,0.7596595283926854,1.0,a house appears in the upper left corner of the scene,/root/autodl-tmp/mga-artifacts/segearth-ov3/building-road-100x3-v3/scenes/levir-cc-test-000205/overview_A_B_reference.png
levir-cc_test_000210,Draft,0.8975479313824419,1.0,1.0,0.9436513622603431,0.0,a row of villas are built along the road .,/root/autodl-tmp/mga-artifacts/segearth-ov3/building-road-100x3-v3/scenes/levir-cc-test-000210/overview_A_B_reference.png
levir-cc_test_000210,Guided,0.8975479313824419,1.0,1.0,0.9436513622603431,0.0,a row of villas has been built along the road .,/root/autodl-tmp/mga-artifacts/segearth-ov3/building-road-100x3-v3/scenes/levir-cc-test-000210/overview_A_B_reference.png
