sample_id,model,claim_id,entity,change_type,role,status,faithfulness,spatial_support,temporal_support,grounding_confidence,reason
levir-cc_test_000004,Draft,c001,road,modify,changed,supported,0.7912086477583584,0.693053613053613,0.9734965693528858,0.97265625,Spatial and temporal evidence support the changed-entity claim.
levir-cc_test_000004,Draft,c002,tree,modify,changed,unverifiable,0.5349335326934247,0.3130742696663512,0.9469578783151326,0.94140625,Evidence is ambiguous under the configured thresholds.
levir-cc_test_000004,Guided,c001,road,modify,changed,supported,0.7912086477583584,0.693053613053613,0.9734965693528858,0.97265625,Spatial and temporal evidence support the changed-entity claim.
levir-cc_test_000004,Guided,c002,tree,modify,changed,unverifiable,0.5349335326934247,0.3130742696663512,0.9469578783151326,0.94140625,Evidence is ambiguous under the configured thresholds.
levir-cc_test_000004,Change-Agent,c001,road,remove,changed,unverifiable,,,,0.1845703125,Target-time entity support is missing or below the grounding threshold.
levir-cc_test_000004,Change-Agent,c002,vegetation,remove,changed,unverifiable,0.5349812801725451,0.3131103515625,0.9470272904483431,0.77734375,Evidence is ambiguous under the configured thresholds.
levir-cc_test_000017,Draft,c001,house,remove,changed,unverifiable,,,,0.05419921875,Target-time entity support is missing or below the grounding threshold.
levir-cc_test_000017,Draft,c002,road,remove,changed,unverifiable,,,,0.10693359375,Target-time entity support is missing or below the grounding threshold.
levir-cc_test_000017,Draft,c003,tree,remove,changed,unverifiable,0.5567233405644334,0.34056535235453406,0.9581596043828178,0.94921875,Evidence is ambiguous under the configured thresholds.
levir-cc_test_000017,Guided,c001,house,remove,changed,unverifiable,,,,0.05419921875,Target-time entity support is missing or below the grounding threshold.
levir-cc_test_000017,Guided,c002,road,remove,changed,unverifiable,,,,0.10693359375,Target-time entity support is missing or below the grounding threshold.
levir-cc_test_000017,Guided,c003,tree,remove,changed,unverifiable,0.5567233405644334,0.34056535235453406,0.9581596043828178,0.94921875,Evidence is ambiguous under the configured thresholds.
levir-cc_test_000017,Change-Agent,c001,house,remove,changed,unverifiable,,,,0.05419921875,Target-time entity support is missing or below the grounding threshold.
levir-cc_test_000017,Change-Agent,c002,road,remove,changed,unverifiable,,,,0.10693359375,Target-time entity support is missing or below the grounding threshold.
